Date,Temperature,Pressure,Wind
1,+24,750,СЗ 3м/с
2,+25,752,З 1м/с
3,+23,751,СЗ 2м/с
4,+19,752,С 3м/с
5,+24,755,СВ 3м/с
6,+24,755,С 3м/с
7,+25,755,С 2м/с
8,+24,755,СЗ 1м/с
9,+24,752,С 3м/с
10,+23,754,В 3м/с
11,+24,751,ЮВ 2м/с
12,+26,750,Ю 3м/с
13,+27,749,Ю 2м/с
14,+29,747,Ю 3м/с
15,+22,752,Ш
16,+21,755,В 2м/с
17,+25,755,В 2м/с
18,+25,753,Ю 3м/с
19,+24,749,Ю 5м/с
20,+19,751,З 2м/с
21,+24,749,Ю 2м/с
22,+25,749,Ю 4м/с
23,+28,749,ЮВ 3м/с
24,+27,752,Ю 2м/с
25,+29,755,СВ 2м/с
26,+27,757,В 3м/с
27,+28,755,СВ 3м/с
28,+27,755,В 3м/с
29,+27,754,В 3м/с
30,+26,751,Ю 1м/с
